title,condition,url,kind
"해외 비즈니스 기초, 공학",진행중,http://www.kmooc.kr/courses/course-v1:HOSEO+HOSEO05+2022_T2/about,공학
"영상콘텐츠 제작을 통한 사회적 기업의 이해, 사회",진행중,http://www.kmooc.kr/courses/course-v1:HOSEO+HOSEOLI04+2022_T2/about,사회
"C언어기초 (배열,포인터,문자열,구조체), 공학",진행중,http://www.kmooc.kr/courses/course-v1:HOSEO+HOSEOLI03+2022_T2/about,공학
"Zhuangzi's Fables and Their Wisdom, 인문",진행중,http://www.kmooc.kr/courses/course-v1:XuetangX+SCUTZFATW+2023_T1/about,인문
"꿈 성취의 비밀 라이프 로드맵(Life Roadmap; The Secret of Achieving My Dream), 인문",진행중,http://www.kmooc.kr/courses/course-v1:ChosunK+Chosun17K+2022_T1/about,인문
"공정사회로 가는 계약법, 사회",진행중,http://www.kmooc.kr/courses/course-v1:PNUk+LC_C01+2022_KM_037/about,사회
"원헬스와 신종 감염병, 의료",진행중,http://www.kmooc.kr/courses/course-v1:PNUk+OI_C01+2022_KM_036/about,의료
"수학으로 푸는 블록체인(Blockchain solved with mathematics), 공학",진행중,http://www.kmooc.kr/courses/course-v1:HonamUniv+HCTL02+2022_3/about,공학
"기계-인간-환경 공존시대의 휴머니티 경영, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SCU+SCU028+2022_1/about,공학
"디지털 금융세상의 리스크관리, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SCU+SCU027+2022_1/about,공학
"청소년사회봉사개론, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SCU+SCU023+2022_1/about,공학
"청소년예술활동과 미디어, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SCU+SCU025+2022_1/about,공학
"청소년커뮤니티 운영의 실제, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SCU+SCU026+2022_1/about,공학
"커뮤니티예술활동의 이론과 실제, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SCU+SCU024+2022_1/about,공학
"케이팝(K-POP)으로 배우는 한국 대중문화, 인문",진행중,http://www.kmooc.kr/courses/course-v1:DGUk+DGU_027k+DGU_027k_2022/about,인문
"위대한 수업2(GREAT MINDS) : 민주주의 난제, 사회",청강가능,http://www.kmooc.kr/courses/course-v1:EBS+EBS018+2022_T1/about,사회
"시니어 건강운동 지도자를 위한 이론과 실제, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:DongdukK+DDU05+2023_T1/about,예체능
"신체이완과 움직임 (소메틱 소도구 필라테스), 예체능",진행중,http://www.kmooc.kr/courses/course-v1:DongdukK+DDU03+2023_T1/about,예체능
"바디발란스, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:DongdukK+DDU04+2023_T1/about,예체능
"액티브시니어를 위한 힐링 요가, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:DongdukK+DDU06+2023_T1/about,예체능
"사회적 경제와 소셜벤처 창업, 사회",진행중,http://www.kmooc.kr/courses/course-v1:HNU+HNU002+2022-1/about,사회
"빅데이터와 융복합 창업, 사회",진행중,http://www.kmooc.kr/courses/course-v1:HNU+HNU003+2022-2/about,사회
"전통활쏘기, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:DongdukK+DDU07+2022_T2/about,예체능
"현대인을 위한 감정 다스리기, 사회",진행중,http://www.kmooc.kr/courses/course-v1:KoreaUnivK+ku_soc_ctl001+2022_BA_ctl04/about,사회
"리더의 전략적 의사결정 , 사회",진행중,http://www.kmooc.kr/courses/course-v1:SOGANGk+SOGANG19k+2022_T2_1/about,사회
"삶과 교육, 교육",진행중,http://www.kmooc.kr/courses/course-v1:SOGANGk+SOGANG20k+2022_T2_1/about,교육
"아시아계 미국인: 차별과 배제의 정치 , 사회",진행중,http://www.kmooc.kr/courses/course-v1:SOGANGk+SOGANG21k+2022_T2_1/about,사회
"창업아이디어 탐색 및 실습, 사회",진행중,http://www.kmooc.kr/courses/course-v1:AJOU+AJOU02+2022_T2/about,사회
"인간의 판단과 의사결정, 사회",진행중,http://www.kmooc.kr/courses/course-v1:AJOU+AJOU01+2022_T2/about,사회
"공기조화기술 (HVAC) 기초, 공학",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_08+2022_1/about,공학
"사물인터넷(IoT)과 제어기술, 공학",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_09+2022_1/about,공학
"스마트 에너지 이론, 공학",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_11+2022_1/about,공학
"인공지능(AI)과 냉동공조, 공학",진행중,http://www.kmooc.kr/courses/course-v1:CUK+CUK_10+2022_1/about,공학
"유니티로 이해하는 인공지능과 기계학습 (feat. ML-Agent), 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_NSU+MATCHUP_NSU04+2023_04/about,공학
"Vuforia를 활용한 AR 콘텐츠 만들기, 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_NSU+MATCHUP_NSU03+2023_03/about,공학
"유니티 VR 프로그래밍, 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_NSU+MATCHUP_NSU01+2023_01/about,공학
"프로그래밍 문법에서 자유로워지는 유니티 비주얼 스크립팅, 공학",진행중,http://www.kmooc.kr/courses/course-v1:MA_NSU+MATCHUP_NSU02+2023_02/about,공학
"외국인유학생을 위한 한국대학문화, 교육",진행중,http://www.kmooc.kr/courses/course-v1:DKUK+MOOC_DKUK0024+2022_T3/about,교육
"미디어 빅뱅 시대의 예술-BTS를 중심으로-, 예체능",진행중,http://www.kmooc.kr/courses/course-v1:SejonguniversityK+SJKMOOC17k+2022_05SJ17_R2/about,예체능
"데이터엔지니어링, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SejonguniversityK+SJKMOOC19k+2022_06SJ19_R2/about,공학
"멀티미디어, 공학",진행중,http://www.kmooc.kr/courses/course-v1:SejonguniversityK+SJKMOOC16k+2022_05SJ16_R2/about,공학
"예술가와 디자이너를 위한 아트 코딩, 융복합",진행중,http://www.kmooc.kr/courses/course-v1:SejonguniversityK+SJKMOOC18k+2022_05SJ18_R2/about,융복합
