title,condition,kind
색채와 퍼스널컬러,진행중,자연
바이오뷰티 창업과 성공전략,진행중,사회
문화융합시대의 창업,진행중,사회
파이썬으로 배우는 기계학습 입문 Plus+,진행중,공학
모성간호학,진행중,의료
빅데이터와 고객관계관리,진행중,사회
시와 상상력: 동서양의 명시를 통해 본 인문학적 상상력,진행중,인문
인간행동과 사회환경,진행중,사회
고대 그리스 신화와 문학세계,청강가능,인문
디지털 시대의 커뮤니케이션,청강가능,사회
위대한 수업2(GREAT MINDS) : 불평등의 수수께끼,청강가능,사회
"차이나는 K-클라스 : 우리 역사, K-콘텐트로 다시 태어나다(신주백)",청강가능,인문
"K-Development, From Where, To Where",청강가능,사회
자산관리와 인생재무제표,청강가능,사회
생물주권이야기 ,청강가능,인문
2030 축의 전환(2030),진행중,사회
이윤기의 그리스 로마 신화(Greek and Roman Mythology),진행중,인문
지금 팔리는 것들의 비밀(When They Buy),진행중,사회
보는 순간 사게 되는 1초 문구 (The power of a catchy phrase),진행중,사회
위기인가? 삼성하라! (Is Crisis? Do Samsung!),진행중,사회
게임 인류 (Gamification),진행중,공학
강원국의 어른답게 말합니다 (Speak like a real grown-up),진행중,인문
나의 월급 독립 프로젝트(My Salary Independent Project),진행중,사회
약속의 땅(A Promised Land),진행중,사회
언바운드(Unbound),진행중,사회
의료기술평가 연구방법론,진행중,의료
자원봉사 교육강사 만들기,진행중,사회
건강보험 보장성강화 제대로 알기,진행중,의료
자원봉사자 교육하기,진행중,사회
자원봉사활동 지원하기,진행중,사회
"메타버스로 맛보는 서해바다, 도(道)시(視)락(樂)",진행중,사회
양자정보처리 기초,진행중,공학
위대한 수업2(GREAT MINDS) : 미래에서 온 영화,청강가능,예체능
"차이나는 K-클라스 : 하이테크와 예술의 만남, K-도자기(이애령)",청강가능,예체능
식품위생법규(Food Sanitation Act),진행중,자연
발달지연 청소년의 참 세상살이를 위한 의사소통(4),진행중,교육
진공 공학 및 설계,진행중,공학
위대한 수업2(GREAT MINDS) : 도시는 어떻게 성공하는가,청강가능,사회
문화와 생활 속 청렴 시즌2,종료,교육
문화와 생활 속 청렴,종료,인문
코딩없는 SW개발,진행중,공학
개인정보: 보호와 이용의 법과 권리,진행중,사회
뇌과학: 현대인이 알아야할 지식들,진행중,의료
미래교육과 에듀테크 ,진행중,교육
"차이나는 K-클라스 : 지금은 웹툰 시대(한창완, 이종범)",청강가능,예체능
위대한 수업2(GREAT MINDS) : 국가는 무엇을 해야 하나,청강가능,사회
차이나는 K-클라스 : 뮤지컬 보러 한국 올래?(이지나),청강가능,예체능
디지털 논리회로와 인공지능,진행중,공학
발달장애 자녀를 위한 상담기법,진행중,사회
발달장애와 직업진로상담,진행중,사회
발달장애인 직업재활,진행중,사회
발달과 발달장애의 이해,진행중,사회
영유아 발달,진행중,교육
"위대한 수업2(GREAT MINDS) : 다시, 오래된 미래",청강가능,자연
"차이나는 K-클라스 : 1인치 장벽을 넘어선, K-배우의 힘(김신록, 백은하)",청강가능,예체능
Tsinghua Chinese: Start Talking with 1.3 Billion People,진행중,인문
Intermediate Accounting II,진행중,사회
Winning in Business: The Art of War by Sun Tzu,진행중,사회
사회로 기초다지기 일본어,진행중,인문
문화로 입문하기 일본어 ,진행중,인문
경제로 실력쌓기 일본어,진행중,인문
기술로 고수되기 일본어,진행중,인문
한국창업정책 60년사와 우수 기업 사례,청강가능,사회
세계로 통하는 한국어 : 초급Ⅰ,청강가능,사회
세계로 통하는 한국어 : 중급Ⅰ,청강가능,사회
세계로 통하는 한국어 : 초급Ⅱ,청강가능,사회
미생물학 입문,청강가능,자연
인공지능 학습용 데이터 라벨링 전문교육,청강가능,공학
설득을 위한 언어,진행중,인문
위대한 수업2(GREAT MINDS) : 힌두학 개론,청강가능,인문
인공지능 기반 생체신호계측 및 이상치 검출,진행중,공학
로봇공학과 인공지능,진행중,공학
금융공학을 위한 인공지능,진행중,공학
인공지능을 위한 파이썬 기초,진행중,공학
한국의 민주주의와 민주화 운동Ⅱ,진행중,사회
한국의 민주주의와 민주화 운동Ⅲ,진행중,사회
한국의 민주주의와 민주화 운동Ⅳ,진행중,사회
한국의 민주주의와 민주화 운동Ⅰ,진행중,사회
오픈소스를 이용한 DevOps 구축 및 활용,청강가능,공학
위대한 수업2(GREAT MINDS) : 인간의 두 얼굴,청강가능,인문
"차이나는 K-클라스 : K-POP, 대체 불가 장르가 되다(김영대)",청강가능,예체능
창업아이디어 탐색 및 실습,청강가능,사회
인간의 판단과 의사결정,청강가능,사회
사랑에 대하여: 과학으로 배우는 성과 젠더,청강가능,사회
디지털 시대와 정신건강,청강가능,의료
기계공학의 미래,청강가능,공학
동양철학과 21세기 문명,진행중,인문
창업가를 위한 브랜드 네이밍 기법,진행중,사회
언택트 시대의 건강관리 플러스,진행중,의료
뉴노멀 시대의 영상미학,청강가능,인문
논쟁으로 유학을 새롭게 바라보다,청강가능,인문
Beginner Creator를 위한 LED/LCD 디스플레이와 센서 활용,청강가능,공학
와인과 테이블매너,청강가능,사회
항공사 취업을 위한 미래 항공 운송 산업의 이해,청강가능,사회
UX/UI 디자인 프로젝트,청강가능,예체능
UI 디자인,청강가능,예체능
UX/UI 디자인 입문,청강가능,예체능
UX 디자인,청강가능,예체능
문화와 생활 속 청렴,종료,인문
문화와 생활 속 청렴 시즌2,종료,교육
"가자, 한국어",청강가능,교육
한국어교육학개론,청강가능,교육
한국어어휘교육론,청강가능,교육
한국어문법교육론,청강가능,교육
한국어발음교육론,청강가능,교육
언어의 신비 들추어보기,청강가능,교육
한국 현대문화의 이해,청강가능,교육
비만의 사회학,청강가능,교육
삼국지 인문학,청강가능,교육
운동선수는 외계인인가?,청강가능,교육
우리유산을 보호하고 활용하는 길라잡이,청강가능,사회
박물관 세계로 여행,청강가능,사회
"메타버스, 찐 고수되기",청강가능,사회
AI프로그래밍,진행중,사회
메타버스 & 실감콘텐츠의 이해,진행중,사회
중국신화 : 고대로의 시간여행 Ⅱ,청강가능,인문
창의적 문제해결을 위한 생각 프로세스 Ⅱ,청강가능,공학
"차이나는 K-클라스 : 현대적 멋을 입힌 전통 공연, 세계를 홀리다(정구호)",청강가능,예체능
체육학개론,진행중,예체능
사람중심 가치실현을 위한 인공지능,진행중,예체능
실용금융의 이론과 실제,진행중,사회
ICT가 바꾸는 미래의 법,청강가능,사회
"슬기로운 가정생활, 관계놀이",청강가능,사회
디지털 신기술 기반 신재생 에너지,청강가능,사회
아동건강과 K-아동돌봄교육,청강가능,교육
아동동작과 K-아동돌봄교육,청강가능,교육
교육심리기반 K-아동돌봄교육,청강가능,교육
K-아동돌봄교육 실천사례지도법,청강가능,교육
"차이나는 K-클라스 : K-게임, 세상을 플레이하다!(김상균)",청강가능,인문
위대한 수업2(GREAT MINDS) : 조향의 세계,청강가능,자연
말보건관리·재활승마이론 기초과정,종료,자연
마학·마술학 기초과정,종료,자연
찾아서 보는 수학,청강가능,자연
생물학적 인간Ⅱ,진행중,자연
모두를 위한 사회학 입문 Ⅱ,청강가능,사회
"글로벌시대, 문화관광콘텐츠의 이해",종료,사회
생활 속의 물리치료,종료,의료
기술경영개론,진행중,사회
실전경영의 이해,진행중,사회
기업가정신과혁신,진행중,사회
문화창업마케팅,진행중,사회
공자의 지혜 The Confucius’ Wisdom,진행중,인문
차이나는 K-클라스 : 볼수록 매력적인 전통미술 속 K-미소(정명희),청강가능,예체능
외국인근로자 사업담당자가 알아야 할 보건의료지원의 이해,종료,의료
위대한 수업2(GREAT MINDS) : 역사를 바꾼 무기들,청강가능,인문
아동과 청소년의 건강환경 Ⅱ,청강가능,인문
발레 : 융합문화예술의 실제 Ⅱ,청강가능,인문
DT시대 온택트 교육학개론,청강가능,융복합
생각보다 가까운 FTA(2),청강가능,융복합
임상증상으로 알아보는 반려동물의 질병,청강가능,자연
"차이나는 K-클라스 : 애매모호한 춤, 세상을 뒤집다(김보람)",청강가능,예체능
혁신 마케팅 CASE STUDY,청강가능,예체능
반도체 공정 입문,청강가능,예체능
비전공자를 위한 기초 화학,청강가능,예체능
문화콘텐츠의 이해,청강가능,예체능
문화콘텐츠 스토리텔링 분석,청강가능,예체능
고전문헌과 역사문화Ⅱ,청강가능,인문
4차 산업시대 미래 질병과 신약개발,진행중,인문
건강한 삶을 위한 운동 스마트한 헬스케어,진행중,인문
증권투자이론 기초,진행중,인문
클릭! 부산(문화와언어),진행중,인문
비전공자를 위한 AI 딥러닝(Deep Learning),진행중,공학
천문학이야기,진행중,자연
자연모사기술,진행중,자연
알기 쉬운 기계재료 성형,청강가능,공학
대한민국의 시작 '대한민국 임시정부',청강가능,인문
한국독립운동의 역사,청강가능,인문
독립군의 요람 '신흥무관학교',청강가능,인문
인공지능 학습용 데이터 라벨링 전문교육,청강가능,공학
문화와 생활 속 청렴,종료,인문
문화와 생활 속 청렴 시즌2,종료,교육
연극으로 하는 창의감성교육,진행중,예체능
교육을 변화시키는 교육연극,진행중,예체능
스마트폰으로 영화 만들기,진행중,예체능
시나리오란 무엇인가?,진행중,예체능
연극 오디세이,진행중,예체능
연기와 오디션 테크닉,진행중,예체능
소비자가 만드는 새로운 세상,청강가능,사회
"도시 부산, 공간을 말하다",청강가능,인문
현해탄과 근대 부산,청강가능,인문
